transaction_id,ledger_entry_id,timestamp,amount,currency,entry_type,status,settlement_status
TX0037,LED90037,2026-09-01 13:15:00,999,INR,CREDIT,POSTED,SETTLED
TX0038,LED90038,2026-09-01 13:21:00,500,INR,CREDIT,POSTED,SETTLED
TX0039,LED90039,2026-09-01 13:28:00,5000,INR,CREDIT,POSTED,SETTLED
TX0040,LED90040,2026-09-01 13:35:00,250,INR,CREDIT,POSTED,SETTLED
TX0041,LED90041,2026-09-01 13:46:00,999,INR,CREDIT,POSTED,SETTLED
TX0042,LED90042,2026-09-01 13:56:00,1500,INR,CREDIT,POSTED,SETTLED
TX0043,LED90043,2026-09-01 13:57:00,500,INR,CREDIT,POSTED,SETTLED
TX0044,LED90044,2026-09-01 14:09:00,250,INR,CREDIT,POSTED,SETTLED
TX0045,LED90045,2026-09-01 14:10:00,1500,INR,CREDIT,POSTED,SETTLED
TX0046,LED90046,2026-09-01 14:20:00,1000,INR,CREDIT,POSTED,SETTLED
TX0047,LED90047,2026-09-01 14:26:00,500,INR,CREDIT,POSTED,SETTLED
TX0048,LED90048,2026-09-01 14:38:00,750,INR,CREDIT,POSTED,SETTLED
TX0049,LED90049,2026-09-01 14:38:00,2500,INR,CREDIT,POSTED,SETTLED
TX0050,LED90050,2026-09-01 14:52:00,250,INR,CREDIT,POSTED,SETTLED
TX0051,LED90051,2026-09-01 14:54:00,1500,INR,CREDIT,POSTED,SETTLED
TX0052,LED90052,2026-09-01 15:06:00,1000,INR,CREDIT,POSTED,SETTLED
TX0053,LED90053,2026-09-01 15:13:00,750,INR,CREDIT,POSTED,SETTLED
TX0054,LED90054,2026-09-01 15:13:00,499,INR,CREDIT,POSTED,SETTLED
TX0055,LED90055,2026-09-01 15:20:00,5000,INR,CREDIT,POSTED,SETTLED
TX0056,LED90056,2026-09-01 15:29:00,100,INR,CREDIT,POSTED,SETTLED
TX0057,LED90057,2026-09-01 15:35:00,100,INR,CREDIT,POSTED,SETTLED
TX0058,LED90058,2026-09-01 15:44:00,500,INR,CREDIT,POSTED,SETTLED
TX0059,LED90059,2026-09-01 15:54:00,5000,INR,CREDIT,POSTED,SETTLED
TX0060,LED90060,2026-09-01 16:00:00,5000,INR,CREDIT,POSTED,SETTLED
TX0061,LED90061,2026-09-01 16:06:00,500,INR,CREDIT,POSTED,SETTLED
TX0062,LED90062,2026-09-01 16:16:00,1500,INR,CREDIT,POSTED,SETTLED
TX0063,LED90063,2026-09-01 16:19:00,5000,INR,CREDIT,POSTED,SETTLED
TX0064,LED90064,2026-09-01 16:24:00,2500,INR,CREDIT,POSTED,SETTLED
TX0065,LED90065,2026-09-01 16:37:00,500,INR,CREDIT,POSTED,SETTLED
TX0066,LED90066,2026-09-01 16:37:00,2500,INR,CREDIT,POSTED,SETTLED
TX0067,LED90067,2026-09-01 16:46:00,2500,INR,CREDIT,POSTED,SETTLED
TX0068,LED90068,2026-09-01 16:53:00,750,INR,CREDIT,POSTED,SETTLED
TX0069,LED90069,2026-09-01 17:03:00,750,INR,CREDIT,POSTED,SETTLED
TX0070,LED90070,2026-09-01 17:09:00,500,INR,CREDIT,POSTED,SETTLED
TX0085,LED90085,2026-09-01 18:55:00,2500,INR,CREDIT,POSTED,SETTLED
TX0086,LED90086,2026-09-01 19:01:00,100,INR,CREDIT,POSTED,SETTLED
TX0087,LED90087,2026-09-01 19:09:00,100,INR,CREDIT,POSTED,SETTLED
TX0088,LED90088,2026-09-01 19:12:00,999,INR,CREDIT,POSTED,SETTLED
TX0089,LED90089,2026-09-01 19:24:00,1000,INR,CREDIT,POSTED,SETTLED
TX0090,LED90090,2026-09-01 19:26:00,100,INR,CREDIT,POSTED,SETTLED
TX0096,LED90096,2026-09-01 20:14:00,950,INR,CREDIT,POSTED,SETTLED
TX0097,LED90097,2026-09-01 20:15:00,450,INR,CREDIT,POSTED,SETTLED
TX0098,LED90098,2026-09-01 20:25:00,700,INR,CREDIT,POSTED,SETTLED
TX0099,LED90099,2026-09-01 20:28:00,500,INR,CREDIT,FAILED,FAILED
TX0100,LED90100,2026-09-01 20:42:00,500,INR,CREDIT,FAILED,FAILED
