transaction_id,bank_transaction_id,timestamp,amount,currency,status,processing_status,settlement_date,bank_reference
TX0062,BN70062,2026-09-01 18:07:00,1500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000062
TX0063,BN70063,2026-09-01 18:14:00,5000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000063
TX0064,BN70064,2026-09-01 18:21:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000064
TX0065,BN70065,2026-09-01 18:28:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000065
TX0066,BN70066,2026-09-01 18:35:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000066
TX0067,BN70067,2026-09-01 18:42:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000067
TX0068,BN70068,2026-09-01 18:49:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000068
TX0069,BN70069,2026-09-01 18:56:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000069
TX0070,BN70070,2026-09-01 19:03:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000070
TX0071,BN70071,2026-09-01 17:14:00,100,INR,FAILED,FAILED,2026-09-02,UTR9000000071
TX0072,BN70072,2026-09-01 17:19:00,100,INR,FAILED,FAILED,2026-09-02,UTR9000000072
TX0073,BN70073,2026-09-01 17:28:00,499,INR,FAILED,FAILED,2026-09-02,UTR9000000073
TX0074,BN70074,2026-09-01 17:33:00,100,INR,FAILED,FAILED,2026-09-02,UTR9000000074
TX0075,BN70075,2026-09-01 17:43:00,100,INR,FAILED,FAILED,2026-09-02,UTR9000000075
TX0076,BN70076,2026-09-01 17:48:00,1000,INR,FAILED,FAILED,2026-09-02,UTR9000000076
TX0077,BN70077,2026-09-01 17:54:00,100,INR,FAILED,FAILED,2026-09-02,UTR9000000077
TX0078,BN70078,2026-09-01 18:01:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000078
TX0079,BN70079,2026-09-01 18:07:00,499,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000079
TX0080,BN70080,2026-09-01 18:15:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000080
TX0081,BN70081,2026-09-01 18:21:00,499,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000081
TX0082,BN70082,2026-09-01 18:30:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000082
TX0083,BN70083,2026-09-01 18:36:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000083
TX0084,BN70084,2026-09-01 18:44:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000084
TX0091,BN70091,2026-09-01 19:31:00,999,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000091
TX0092,BN70092,2026-09-01 19:41:00,2500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000092
TX0093,BN70093,2026-09-01 19:46:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000093
TX0094,BN70094,2026-09-01 19:53:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000094
TX0095,BN70095,2026-09-01 20:01:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000095
TX0096,BN70096,2026-09-01 20:09:00,1000,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000096
TX0097,BN70097,2026-09-01 20:14:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000097
TX0098,BN70098,2026-09-01 20:21:00,750,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000098
TX0099,BN70099,2026-09-01 20:27:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000099
TX0100,BN70100,2026-09-01 20:34:00,500,INR,SUCCESS,PROCESSED,2026-09-02,UTR9000000100
